session_id,user_id,temp1,temp2,bpm1,bpm2,spo2_1,spo2_2,mpu1_acc_x,mpu1_acc_y,mpu1_acc_z,mpu2_acc_x,mpu2_acc_y,mpu2_acc_z,mpu1_gyr_x,mpu1_gyr_y,mpu1_gyr_z,mpu2_gyr_x,mpu2_gyr_y,mpu2_gyr_z,fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,fsr_6,fsr_7,fsr_8,fsr_9,fsr_10,fsr_11,fsr_12,stress_level,posture_level,timestamp
1,1,36.44,36.7,110,107,98,96,-1.676,0.127,-1.672,1.024,0.128,-0.683,226.115,-63.926,115.812,-220.473,220.276,55.287,25.68,59.18,25.16,12.15,61.85,79.26,55.98,23.69,19.56,69.62,52.97,36.85,2,2,23/2/2026 11:24
2,1,36.8,36.19,66,104,98,100,-1.127,-1.073,-1.217,0.829,1.723,-1.423,114.346,243.299,180.486,-107.236,-21.101,63.728,88.76,28.76,16.85,42.66,68.48,60.01,70.98,72.89,33.77,88.47,46.44,32.38,2,2,23/2/2026 11:25
3,1,36.63,36.98,73,69,96,100,0.917,1.344,-0.021,-1.257,-0.224,-0.259,-245.339,-128.875,133.488,2.56,153.213,-218.134,71.35,68.31,23.12,31.07,67.46,86.5,45.31,63.49,43.43,25.28,78.7,57.88,2,2,23/2/2026 11:26
4,1,35.83,35.67,84,87,98,97,0.143,-0.539,1.546,-1.179,-1.264,-1.191,-98.936,-229.587,66.131,93.655,-127.77,-81.303,76.48,84.52,55.77,79.82,58.48,15.07,65.23,20.41,33.72,76.11,69.8,85.1,2,3,23/2/2026 11:27
5,1,37.16,36.64,92,98,95,96,-0.299,0.911,-1.702,0.196,0.222,0.977,-186.997,-189.691,4.956,235.809,88.753,43.476,59.3,46.36,80.73,49.56,57.09,87.83,82.61,31.94,85.16,62.17,81.81,82.59,2,3,23/2/2026 11:28
6,1,35.61,37.18,68,90,98,96,-0.072,-1.939,-1.779,-0.645,-0.439,-1.765,169.465,-196.909,64.284,-25.888,-187.333,-191.746,74.01,63.83,71.83,71.38,28.77,30.29,38.28,30.25,64.57,70.57,50.87,53.81,2,2,23/2/2026 11:29
7,1,36.51,35.94,66,110,100,94,1.008,-0.908,0.585,-0.087,-0.712,1.46,191.879,-35.473,-24.734,-114.093,-127.584,39.458,19.57,36.98,85.64,43.73,71.34,54.96,66.02,27.88,79.08,37.85,61.92,28.13,2,2,23/2/2026 11:30
8,1,37.24,35.56,89,108,96,97,-0.051,0.176,1.266,1.467,1.468,0.72,198.478,169.929,105.787,146.15,25.273,-208.793,51.95,18.69,51.33,47.06,24.68,43.41,65.06,27.51,86.61,29.17,41.98,22.04,2,2,23/2/2026 11:31
9,1,37.31,35.54,71,77,94,98,0.14,-0.208,0.684,1.396,-1.67,-0.583,178.8,188.876,185.92,223.836,211.465,-67.36,84.02,54.14,11.58,28.61,25.81,87.58,30.81,77.83,55.44,59.1,60.2,59.26,2,2,23/2/2026 11:32
10,1,37.26,35.84,73,68,97,97,-0.401,-1.729,-0.384,0.743,-0.516,0.113,-98.929,156.935,-76.869,82.072,193.17,14.849,65.02,45.59,29.87,60.53,40.98,26.54,26.42,34.79,79.76,31.52,17.66,75.34,2,2,23/2/2026 11:33
11,1,35.88,35.73,108,70,96,94,-1.662,-0.437,1.361,0.152,0.288,1.753,-183.911,109.223,200.09,4.617,-69.679,195.729,38,58.82,44.34,87.41,29.68,49.07,22.05,10.07,80.18,77.19,34.91,65.08,2,2,23/2/2026 11:34
12,1,36.69,36.64,62,105,99,99,1.866,0.952,0.96,0.918,-1.813,0.508,-8.165,-208.364,37.004,23.019,140.272,-237.308,14.84,83.14,18.64,55.86,46.19,47.9,86.29,70.28,12.73,45.4,59.56,27.99,2,2,23/2/2026 11:35
13,1,37.28,35.77,97,94,94,100,1.067,-0.449,1.59,-1.775,-0.406,-1.759,0.785,180.046,174.98,164.119,-49.767,248.386,63.96,87.68,49.88,23.11,49.36,53.17,71.72,70.94,51.01,86.82,61.15,54.38,2,3,23/2/2026 11:36
14,1,35.87,36.76,60,71,100,95,0.781,0.716,0.021,-1.726,-1.994,-1.962,-95.815,-28.805,239.235,-23.001,17.572,125.499,80.34,68.63,14.46,15.69,59.73,24.65,76.63,68.02,64.23,87.93,18.87,35.98,2,2,23/2/2026 11:37
15,1,35.58,36.84,96,67,94,95,-0.669,-1.793,0.583,-1.867,0.5,0.759,-0.723,1.084,-124.273,101.612,-214.166,-58.403,32.85,37.37,75.46,67.21,60.08,51.72,44.7,41.15,32.14,78.57,58.49,51.73,2,2,23/2/2026 11:38
16,2,36.03,36.75,71,92,94,99,-0.752,-0.792,1.006,-1.771,-0.116,-1.127,157.209,128.84,185.019,-8.625,164.836,142.248,57.25,83.92,60.63,37.21,58.51,29.39,84.12,30.67,48.69,77.28,15.81,24.09,2,2,23/2/2026 11:39
17,2,35.81,35.93,76,75,95,94,-0.921,-0.726,1.183,0.968,1.706,-0.75,-152.867,212.954,-99.92,-23.672,-230.477,128.107,56.12,62.85,42.27,62.79,78.08,17.32,32.83,39.6,80.49,66.61,40.24,41.85,2,2,23/2/2026 11:40
18,2,36.23,35.52,80,106,94,94,-0.092,0.739,-0.749,1.203,-0.162,1.533,5.842,-167.403,43.825,71.489,133.037,-25.092,74.45,88.83,23.74,40.68,20.16,11.07,34.18,80.6,50.55,22.88,71.61,89.32,2,2,23/2/2026 11:41
19,2,37.09,35.83,89,60,99,94,0.724,1.533,-1.842,-0.159,-0.785,1.716,-90.149,-240.828,-44.519,-227.781,185.555,202.285,18.92,38.24,64.95,13.92,44.75,86.55,53.86,60.34,48.82,48.3,62.79,28.78,2,2,23/2/2026 11:42
20,2,37.11,36.11,66,95,94,100,1.888,-1.097,-1.336,-1.156,0.041,1.111,122.609,-107.597,-7.226,145.655,-226.717,20.441,35.87,36.04,17.06,25.25,33.93,39.61,18.72,29.4,28.08,81.58,59.72,31.57,2,2,23/2/2026 11:43
21,2,36.13,37.26,67,108,98,96,1.23,0.122,1.916,-0.82,1.851,-1.43,138.458,166.695,97.691,111.008,129.416,59.955,82.21,75.29,42.73,37.83,63.66,13.74,48.18,75.79,27.2,85.49,69.32,78.73,2,2,23/2/2026 11:44
22,2,35.63,36.58,106,75,97,99,-0.947,-0.865,0.891,-1.152,0.171,-1.615,126.193,-211.682,13.045,88.935,-225.476,-171.522,60.99,57.2,41.08,51.97,41.92,49.12,61.13,73.52,81.31,75.26,64.46,58.76,2,2,23/2/2026 11:45
23,2,36.32,36.06,82,95,96,96,0.633,-0.812,-0.68,0.635,-0.231,1.307,-244.173,9.631,196.312,72.194,-158.858,-231.062,18.53,64.35,64.41,86.05,57.25,60.52,62.99,77.73,22.16,83.98,29.06,28.6,2,2,23/2/2026 11:46
24,2,36.97,37.24,81,74,94,94,-1.672,-0.815,0.153,-1.27,-0.433,1.687,187.949,232.578,-154.674,-189.087,86.585,-232.684,81.56,62.93,24.51,12.63,81.06,79.95,12.64,18.58,50.29,82.74,30.39,31.27,2,2,23/2/2026 11:47
25,2,36.9,37.27,89,74,95,97,0.907,-1.324,0.185,0.914,-0.472,1.899,-53.258,213.6,-170.059,-185.293,-44.98,-238.643,45.86,60.49,86.18,19.54,65.38,44.44,29.39,76.01,65.8,25.44,69.91,66.55,2,2,23/2/2026 11:48
26,2,36.93,36.99,97,86,94,100,0.163,-0.897,-1.535,-0.435,1.853,0.226,-208.307,123.717,-162.666,177.151,-196.707,225.992,33.36,59.43,45.95,40.55,10.78,50.21,14.32,61.4,14,72.84,46.59,32.91,2,2,23/2/2026 11:49
27,2,36.34,37.05,107,104,97,99,0.616,-0.127,-0.295,0.224,-1.856,-1.193,-157.506,-240.153,102.642,-117.456,158.972,-79.671,70.16,78.87,64.18,50.48,34.72,37.82,30.6,25.03,23.54,37.34,56.45,26.64,2,2,23/2/2026 11:50
28,2,36.06,35.9,73,89,97,95,-0.333,1.619,0.737,-1.615,1.011,1.474,157.388,146.706,110.976,-151.454,-233.64,-93.569,36.68,63.15,67.41,61.07,67.02,30.46,38.57,37.01,84.72,49.83,17.59,60.83,2,2,23/2/2026 11:51
